Tamanio Matrix,Promedio Tiempo LU,Promedio Error LU,Promedio Tiempo JMat,Promedio Error JMat,Promedio Tiempo GSMat,Promedio Error GSMat,Promedio Tiempo JSum,Promedio Error JSum,Promedio Tiempo GSSum,Promedio Error GSSum
10,1.54e-06,1.24243e-18,7.22e-06,12.4507,4.7e-06,1.25478e-08,4.46e-06,12.4507,6.15e-06,1.19103e-18
50,2.417e-05,7.4237e-19,0.00012676,26.8289,0.00010733,1.19654e-08,0.00011795,26.8289,0.00010308,7.37405e-19
100,0.00012689,6.08692e-19,0.00097775,42.0137,0.00094244,1.21223e-08,0.00052404,42.0137,0.0004834,6.04737e-19
250,0.00129178,4.08306e-19,0.0102963,75.2012,0.00976272,1.01133e-08,0.00366535,75.2012,0.0034221,3.937e-19
500,0.00808081,3.40426e-19,0.0622756,102.594,0.0605229,1.00439e-08,0.0144122,102.594,0.0136063,3.1829e-19
750,0.0268056,3.04311e-19,0.18394,115.264,0.183002,1.13633e-08,0.039089,115.264,0.0368593,2.84343e-19
1000,0.0620852,3.13353e-19,0.422505,134.686,0.41263,8.59616e-09,0.10984,134.686,0.109808,2.87308e-19
1500,0.204278,3.05917e-19,1.40527,180.069,1.36121,8.80586e-09,0.314394,180.069,0.303996,2.78063e-19
2000,0.485256,2.69125e-19,3.29135,199.884,3.19374,9.70332e-09,1.25781,199.884,1.25877,2.42433e-19
2500,0.871494,2.56521e-19,6.0467,215.983,5.95935,1.04848e-08,2.22925,215.983,2.26144,2.29459e-19
